Ticker,Score,Cor,Setor
COP,49.14,amarelo,ENERGIA .csv
CL,49.13,amarelo,Consumer Non-Cyclicals.csv
CME,48.97,amarelo,Financials.csv
CVS,48.94,amarelo,Healthcare.csv
LOPE,48.92,amarelo,Academic & Educational Services.csv
GFI,48.78,amarelo,Basic Materials.csv
APO,48.74,amarelo,Financials.csv
PG,48.66,amarelo,Consumer Non-Cyclicals.csv
SCCO,48.61,amarelo,Basic Materials.csv
WCN,48.5,amarelo,INDUSTRIA.csv
LVS,48.47,amarelo,Consumer Cyclicals.csv
MMM,48.4,amarelo,Consumer Non-Cyclicals.csv
ROST,48.32,amarelo,Consumer Cyclicals.csv
TT,48.27,amarelo,INDUSTRIA.csv
AME,48.18,amarelo,INDUSTRIA.csv
BRK-A,48.09,amarelo,Consumer Non-Cyclicals.csv
KVUE,48.07,amarelo,Consumer Non-Cyclicals.csv
HES,48.03,amarelo,ENERGIA .csv
AVB,47.98,amarelo,Real Estate.csv
EIX,47.89,amarelo,Utilities.csv
TMO,47.87,amarelo,Healthcare.csv
SNPS,47.76,amarelo,Technology.csv
RTX,47.72,amarelo,INDUSTRIA.csv
LII,47.51,amarelo,INDUSTRIA.csv
SPG,47.29,amarelo,Real Estate.csv
HUBB,47.13,amarelo,INDUSTRIA.csv
FTV,47.12,amarelo,INDUSTRIA.csv
FC,46.86,amarelo,Academic & Educational Services.csv
BLK,46.7,amarelo,Financials.csv
DE,46.58,amarelo,INDUSTRIA.csv
MSFT,46.57,amarelo,Technology.csv
TSCO,46.37,amarelo,Consumer Cyclicals.csv
ES,46.3,amarelo,Utilities.csv
TGT,46.21,amarelo,Consumer Cyclicals.csv
EOG,46.08,amarelo,ENERGIA .csv
UTI,45.97,amarelo,Academic & Educational Services.csv
SHEL,45.93,amarelo,ENERGIA .csv
CTVA,45.88,amarelo,Basic Materials.csv
VMC,45.86,amarelo,Basic Materials.csv
CSCO,45.79,amarelo,Technology.csv
ABT,45.77,amarelo,Healthcare.csv
META,45.71,amarelo,Technology.csv
APD,45.7,amarelo,Basic Materials.csv
AU,45.45,amarelo,Basic Materials.csv
GE,45.32,amarelo,INDUSTRIA.csv
ETN,45.27,amarelo,INDUSTRIA.csv
SCHW,45.2,amarelo,Financials.csv
XYL,45.18,amarelo,INDUSTRIA.csv
VLTO,45.14,amarelo,INDUSTRIA.csv
TRU,44.99,amarelo,INDUSTRIA.csv
PPG,44.97,amarelo,Basic Materials.csv
GS,44.96,amarelo,Financials.csv
PEP,44.96,amarelo,Consumer Non-Cyclicals.csv
ODFL,44.92,amarelo,INDUSTRIA.csv
CB,44.81,amarelo,Financials.csv
TCOM,44.73,amarelo,Consumer Cyclicals.csv
RY,44.53,amarelo,Financials.csv
PH,44.48,amarelo,INDUSTRIA.csv
CMCSA,44.37,amarelo,Technology.csv
